MSISDN	VERSION_DATE	RSRP_F141F47_FWZ	RSRP_105_CNT	RSRPCOVER105	RSRP_110_CNT	RSRPCOVER	SINR_F40Z40_FWZ	LOWSINR0	LOWSINRN3	SIXDB3NEI	X2_REPEAT_SUC_CNT	TAC_REPEAT_SUC_CNT	TAU_SUC_CNT	TAU_SUC_5UP_CNT	PAGING_CNT	PAGING_RATIO	LTE2GSM_REDIRECT_CNT	LINK_DROP	WEAK_HOURS	PHR0_CNT	LOWPHR0
6959EA645C495B0B254FC2D52CEC166C	2018/8/13 0:00	-100	109	65.27	145	86.83	11	0	0	0	0	0	2	0	76	100	0	1	1	19	11.38
EC6A1F79385FB7FF36B747B8D2519CBE	2018/8/13 0:00	-106.5	1	50	1	50	6	50	50	0	0	0	52	24	34	100	0	0	1	0	0
CAF6311491F0077AE89C3E38F446298C	2018/8/13 0:00	-97.65	88	73.33	113	94.17	15.36	11.67	5	3.33	230	0	59	37	184	100	3	0	2	57	54.29
B3A50BBD4AE92D19B334CC92173A9CCF	2018/8/13 0:00	-86.25	10	100	10	100	12.25	0	0	0	86	0	32	30	139	100	0	0		0	0
1D851F6EFAA16275183671E4C15ED3CE	2018/8/13 0:00										0	0	58	46	207	100	0	0			
061D3C2C4B45B65477C51B9912FF06FC	2018/8/13 0:00	-88.91	510	98.84	515	99.81	9.91	1.34	0.96	0.19	72	0	47	36	326	100	0	0		3	0.58
511C0BC5324932830164A1EE2A8251D2	2018/8/13 0:00	-81.59	259	98.11	261	98.86	10.23	2.26	0.75	3.02	296	0	315	307	243	100	1	0	1	26	9.81
FFC09B5E416B08368EE769DCF738C3BA	2018/8/13 0:00	-94	1715	97.44	1747	99.26	10.56	0.89	0.62	0.56	0	0	106	96	758	100	3	0		20	1.13
26E5FEE4F5376CF16A137B81A8249D4E	2018/8/13 0:00	-105.63	253	66.4	320	83.99	7.63	5.39	2.11	0.7	158	0	82	62	86	100	31	0	8	70	18.52
466EC659245C8E77718097292DD657A8	2018/8/13 0:00	-99	47	97.92	47	97.92	10.33	0	0	0	2	0	0	0	493	100	0	0	1	0	0
DBE577489C2EA86B66580A1A34736EE1	2018/8/13 0:00										888	0	114	105	148	100	0	0			
6870D395CC94BC520C59D9CC1D0B634C	2018/8/13 0:00										0	0	15	0	12	100	1	0			
4CB3EEFC021178CF12A700C6C1212E42	2018/8/13 0:00	-87.83	990	99.6	993	99.9	13.4	0.6	0.1	0.1	44	0	11	0	699	100	0	0		9	0.91
BF79C0DD3F78EA0B9D2A2F61BF6B2B50	2018/8/13 0:00	-90.31	485	95.47	494	97.24	13.65	0.2	0	1.97	68	0	17	0	121	100	0	0	1	12	2.36
167349C63D434B4040C2DAABD44A0E5F	2018/8/13 0:00	-112	5	23.81	6	28.57	10	0	0	0	0	0	73	57	0		18	0	8	21	100
E7CC8BEEEBB16ED0445005A8D9A27EE9	2018/8/13 0:00	-101.5	7	63.64	8	72.73	11.6	0	0	0	4	0	81	60	13	100	5	0	3	1	10
E502228BB031DE4D2F8D23272CB71A62	2018/8/13 0:00	-80.24	734	99.86	735	100	11.59	0.14	0.14	0.14	10	0	4	0	211	100	0	0		0	0
1EF382FC1E3C5BF8ADBEFB54D1965D1B	2018/8/13 0:00										80	0	86	55	186	100	2	0			
8298B55351BD3A751696A371CE82A166	2018/8/13 0:00	-112	20	74.07	25	92.59	14	0	0	0	0	0	1	0	15	100	0	0	2	2	25
04E6C5F1352CA56653C44E4F449473D6	2018/8/13 0:00										224	0	55	32	264	100	15	0			
61ACB152E1BDCB5197DE5398EC331B12	2018/8/13 0:00										38	0	2	0	126	100	2	0			
7B2710AD4B9ED86E2A8FAFF8C104D1C3	2018/8/13 0:00	-93.13	417	98.58	423	100	12.73	0.71	0.47	0.47	126	0	2	0	218	100	0	0		5	1.18
0C907E72FE4B7848F642F0BA7627F688	2018/8/13 0:00	-100.13	677	85.8	770	97.59	8	1.52	0.38	0.76	182	0	0	0	218	100	0	0	2	58	7.45
B227DC80CE9B5347C1EF33FFD5024B99	2018/8/13 0:00	-82.5	92	100	92	100	10.5	0	0	0	0	0	19	0	53	100	0	0		4	4.35
1AFD105390694022CD7111C4F4892E69	2018/8/13 0:00	-82.5	18	100	18	100	14.5	0	0	0	0	0	29	0	22	100	0	0		0	0
24DC075E18A4C292F9E7B6B48BE54979	2018/8/13 0:00										0	0	17	0	147	100	0	0			
75E11F30EE42DB4B67440116265751DE	2018/8/13 0:00	-101.33	79	32.51	125	51.44	4.67	4.12	2.06	0	0	0	86	76	181	100	132	0	17	151	62.4
74AC92828041D6EE2E65AE6075ADF212	2018/8/13 0:00	-95.31	221	82.16	242	89.96	9.95	5.43	2.54	1.09	342	0	127	115	180	100	5	0	3	38	14.02
7912F23577A7F8A0AC47B0898D326F2C	2018/8/13 0:00	-78.67	871	100	871	100	10	0.8	0.11	0.23	0	0	22	8	512	100	0	0		0	0
8ECDDE13AC0D978313075A286395AEA6	2018/8/13 0:00	-100	1045	64.99	1379	85.76	11.5	1	0.19	0.06	10	0	22	0	324	100	14	0	14	500	31.09
1787E193B5BB2E4C84A149F4876EB3DE	2018/8/13 0:00										158	0	21	10	155	100	7	0			
FDFB6C77D36E092E952E293C34676CB2	2018/8/13 0:00										22	0	8	0	236	100	0	0			
4AFBF9FD001B9AC4221AD284F759F107	2018/8/13 0:00										4	0	37	6	15	100	0	0			
4B51AB17AB18331E79D10CEAE0884535	2018/8/13 0:00	-93	454	98.91	458	99.78	14.75	0	0	0.21	14	0	1	0	336	100	1	0		4	0.87
10AB9825CA4D56BC7C95EC40E0A602EB	2018/8/13 0:00	-98	3	60	5	100	17	0	0	0	12	0	324	311	20	100	0	0		2	40
73446103CAEDFBC1BFE0B14574ACA6D9	2018/8/13 0:00	-78.92	501	99.21	505	100	10.95	0.98	0.39	0.2	102	0	18	14	283	100	3	0		6	1.18
99F2A1BBCB30F0C111C55051EFC08601	2018/8/13 0:00	-85.64	672	98.97	678	99.85	12.44	0.74	0.59	0.59	400	0	1	0	229	100	0	0		10	1.47
833F7503D659A692C87C5CD3311F966E	2018/8/13 0:00	-101.33	1557	87.52	1695	95.28	6.33	0.22	0.17	0	94	0	18	12	671	100	11	0	3	78	4.38
35F5E528C2DFF29513F5A049BA59F6D6	2018/8/13 0:00	-75.22	148	99.33	149	100	8	0.67	0.67	0	24	0	0	0	67	100	0	0		2	1.34
569E3ABCD0AAC23468968830D8FC726E	2018/8/13 0:00	-90.64	828	84.49	960	97.96	13.03	0.1	0	0	304	0	26	7	213	100	0	0	2	30	3.06
F55EE408443E245970CEDEEA87691923	2018/8/13 0:00	-76	3	100	3	100	11	0	0	0	0	0	53	0	5	100	0	0		0	0
7C922FD29CEDEA5AA0BCCBEBBB2E86EC	2018/8/13 0:00	-103.6	38	18.81	73	36.14	11.4	0.5	0	2.97	26	0	45	32	42	100	2	0	16	124	61.39
0DF775636D5662A9E61C73E1C1740BC6	2018/8/13 0:00	-90	480	97.17	493	99.8	10.6	0.81	0.81	0.61	58	0	47	34	175	100	2	0		11	2.23
EA5CAA66C5B8BAE4DA540F21DC2F69B3	2018/8/13 0:00	-79	909	100	909	100	10	0.11	0.11	0	8	0	4	0	740	100	0	0		0	0
E85E88507E4DA9A00A8DC9A5B0DB974B	2018/8/13 0:00	-95.43	222	94.87	230	98.29	10.89	0.85	0.85	0	76	0	2	0	64	100	1	0		3	1.3
B3BF80C692F292C935DD521626C54C81	2018/8/13 0:00	-89.2	903	97.83	921	99.78	15.32	0	0	3.5	3004	0	341	338	266	100	0	0		32	5.09
33D2441106AF7E906C4214BC0E58723B	2018/8/13 0:00										0	0	4	0	170	100	2	0			
58B3E1C2AA1C2D957E320406B5B06C3B	2018/8/13 0:00										0	0	0	0	270	100	0	0			
D02FCAEBF76E6F8B481D9C3EE8195676	2018/8/13 0:00	-80	1	100	1	100	7	0	0	0	0	0	0	0	88	100	0	0		0	0
486BB9A3C2DD4EF89C458FC068B1B269	2018/8/13 0:00										0	0	28	0	67	100	0	0			
5BA22B10BAD0D1DDE57E19F67AFEF5B0	2018/8/13 0:00	-76.63	217	100	217	100	16.06	0	0	0	2	0	36	6	111	100	0	0		0	0
1F5F1DE0334E0D530D454BCF4A1A3FC4	2018/8/13 0:00	-97.76	179	96.24	183	98.39	8.76	0	0	2.13	92	0	13	0	42	100	0	0		18	9.68
28449024E8B5D08985B547D7B533B910	2018/8/13 0:00	-90.8	421	60.06	479	68.33	12.48	10.08	0.7	2.24	294	0	84	53	193	100	20	0	11	51	7.37
09748F470E58FB6E7BD8BB8E682DABD5	2018/8/13 0:00	-91.25	20	95.24	21	100	23.33	0	0	0	60	0	9	0	98	100	0	0		1	5.26
075CFE5D2E25088B890FB13752545D46	2018/8/13 0:00	-79	1	100	1	100	19	0	0	0	42	0	94	92	288	100	8	0		0	0
F302740CEA1819687949D14146E104C3	2018/8/13 0:00										0	0	91	77	88	100	92	0			
286BE3C3055BA8FE011AE173E50FE6BE	2018/8/13 0:00										0	0	14	0	429	100	14	0			
D01A7F82FD2AF6FB7C277607FE40B58E	2018/8/13 0:00										8	0	18	0	138	100	0	0			
34785C4678A244416AD84EF79E80EAC4	2018/8/13 0:00										178	0	178	162	268	100	85	0			
AE38E5A4DD565BD52CEB104B2FA4C4F0	2018/8/13 0:00										0	0	2	0	127	100	0	0			
63E93433DD6D5AFA7A482CAB2BD397DB	2018/8/13 0:00										362	0	435	424	197	100	13	0			
60639BE953C934886C7C8750EB2957BC	2018/8/13 0:00	-100.13	108	49.77	188	86.64	9.13	5.94	0.91	0.91	16	0	19	15	117	99.15	14	0	7	37	16.97
022C29D126EC359BE3DFFF4CC3022525	2018/8/13 0:00										36	0	26	11	189	100	5	0			
9E02C71BE12201921EBA779B20E59875	2018/8/13 0:00	-97.29	62	71.26	81	93.1	13.65	0	0	3.45	20	0	1	0	13	100	0	0	4	13	14.94
C9DE76523A5048855AEFA62860D1773F	2018/8/13 0:00	-82.04	584	99.32	586	99.66	10	1.85	1.17	0.5	104	0	220	205	432	100	2	0		14	2.37
7FDD1FEF82697B1AC295AA80ABAA6E07	2018/8/13 0:00	-84.37	1250	96.38	1286	99.15	16.1	1.03	0.81	1.47	0	0	88	70	548	100	0	0		24	1.91
B1F26F3425394AF6C0058E1598EBC8F9	2018/8/13 0:00	-85.28	694	88.97	770	98.72	15.39	0.9	0.26	2.18	194	0	23	20	193	100	2	0		53	6.79
FDBA23F40DB83B143D6F26F9F09DCF81	2018/8/13 0:00										116	0	2	0	887	100	0	0			
859536A5D2C097D82046C25D92A6B25A	2018/8/13 0:00										16	0	35	27	80	100	0	0			
